Time (s),T_outer (C),T_inner (C),T_ave (C)
153.97,100,105.49,100.53
293.97,100,110.59,101.32
433.97,100,115.7,102.28
583.97,100.02,121.19,103.48
723.97,100.07,126.32,104.71
873.97,100.17,131.82,106.15
1014,100.33,136.95,107.59
1154,100.55,142.09,109.12
1304,100.87,147.6,110.81
1444,101.25,152.74,112.47
1594,101.75,158.24,114.32
1734,102.3,163.38,116.13
1874,102.93,168.52,118.01
2024,103.69,174.04,120.1
2164,104.49,179.18,122.12
2314,105.43,184.69,124.35
2454,106.4,189.86,126.48
2594,107.43,195,128.6
2744,108.62,200.51,130.95
2884,109.8,205.66,133.21
3034,111.15,211.18,135.7
3174,112.47,216.33,138.08
3314,113.87,221.48,140.52
3464,115.44,227,143.19
3604,116.97,232.15,145.73
3754,118.67,237.7,148.44
3894,120.3,242.85,150.98
4034,121.99,248,153.59
4184,123.86,253.52,156.44
4324,125.67,258.67,159.15
4474,127.66,264.19,162.11
4614,129.58,269.35,164.92
4754,131.56,274.51,167.78
4904,133.73,280.07,170.86
5044,135.76,285.22,173.67
5194,137.99,290.75,176.74
5334,140.12,295.9,179.66
5474,142.29,301.06,182.63
5624,144.67,306.59,185.85
5764,146.94,311.75,188.9
5914,149.42,317.27,192.22
6054,151.79,322.43,195.35
6194,154.15,327.64,198.41
6344,156.69,333.16,201.7
6484,159.1,338.32,204.81
6634,161.73,343.85,208.19
6774,164.22,349.01,211.39
6914,166.75,354.17,214.62
7064,169.51,359.71,218.13
7204,172.12,364.87,221.43
7354,174.94,370.46,224.97
7494,177.53,375.61,228.18
7634,180.16,380.77,231.44
7784,183.01,386.3,234.97
7924,185.7,391.47,238.31
8074,188.63,397,241.92
8214,191.39,402.16,245.32
8354,194.19,407.33,248.75
8504,197.23,412.86,252.46
8644,200.01,418.08,255.83
8794,203,423.61,259.45
8934,205.82,428.78,262.86
9074,208.68,433.94,266.3
9224,211.76,439.48,270.02
9364,214.68,444.64,273.53
9514,217.83,450.18,277.32
9654,220.81,455.34,280.88
9794,223.79,460.54,284.46
9944,226.94,466.09,288.24
10084,229.91,471.25,291.79
10234,233.12,476.79,295.61
10374,236.15,481.96,299.2
10514,239.2,487.13,302.81
10664,242.5,492.66,306.72
10804,245.6,497.71,310.38
10954,248.97,497.88,313.89
11094,252.13,497.94,316.93
11234,255.33,497.99,319.84
11384,258.78,498.03,322.84
11524,262.02,498.07,325.56
11674,265.34,498.13,328.4
11814,268.43,498.17,330.93
11954,271.51,498.2,333.39
12104,274.79,498.24,335.96
12244,277.84,498.26,338.31
12394,281.08,498.29,340.78
12534,284.07,498.32,343.04
12674,287.04,498.34,345.26
12824,290.19,498.37,347.61
12964,293.1,498.39,349.76
13114,296.17,498.42,352.03
13254,299.01,498.44,354.11
13394,301.81,498.46,356.16
13544,304.77,498.49,358.33
13684,307.48,498.51,360.32
13834,310.21,498.54,362.42
13974,312.72,498.56,364.33
14114,315.21,498.58,366.2
14264,317.84,498.61,368.17
14400,320.2,498.63,369.93
