Time (s),T_outer (C),T_inner (C),T_ave (C)
144,450,454.3,450.34
294,450,456.91,450.79
434,450,458.43,451.15
584,450,459.79,451.53
724,450.01,461.04,451.88
864,450.02,461.95,452.21
1014,450.05,462.91,452.55
1154,450.08,463.81,452.87
1304,450.14,464.76,453.22
1444,450.2,465.65,453.55
1584,450.28,466.35,453.87
1734,450.38,467.08,454.21
1874,450.48,467.77,454.52
2024,450.61,468.51,454.86
2164,450.74,469.19,455.17
2304,450.88,469.78,455.48
2454,451.05,470.4,455.82
2594,451.21,470.98,456.13
2744,451.39,471.6,456.46
2884,451.57,472.18,456.77
3024,451.76,472.69,457.08
3174,451.97,473.24,457.41
3314,452.17,473.75,457.72
3464,452.39,474.3,458.06
3604,452.61,474.81,458.37
3744,452.83,475.28,458.68
3894,453.07,475.77,459.01
4034,453.3,476.24,459.32
4184,453.56,476.73,459.65
4324,453.8,477.2,459.97
4464,454.04,477.62,460.28
4614,454.31,478.08,460.61
4754,454.56,478.5,460.92
4904,454.83,478.96,461.25
5044,455.09,479.38,461.57
5184,455.36,479.78,461.88
5334,455.64,480.2,462.21
5474,455.91,480.6,462.52
5624,456.2,481.02,462.86
5764,456.47,481.42,463.17
5904,456.75,481.79,463.48
6054,457.04,482.19,463.81
6194,457.32,482.56,464.13
6344,457.62,482.96,464.46
6484,457.91,483.34,464.77
6624,458.19,483.69,465.08
6774,458.5,484.07,465.42
6914,458.79,484.42,465.73
7064,459.1,484.8,466.06
7204,459.39,485.15,466.37
7344,459.68,485.49,466.68
7494,459.99,485.85,467.01
7634,460.29,486.18,467.32
7784,460.6,486.54,467.66
7924,460.9,486.87,467.97
8064,461.2,487.19,468.27
8214,461.52,487.54,468.6
8354,461.81,487.86,468.91
8504,462.13,488.2,469.24
8644,462.43,488.52,469.55
8784,462.74,488.83,469.86
8934,463.06,489.16,470.19
9074,463.36,489.47,470.49
9224,463.68,489.8,470.82
9364,463.98,490.1,471.12
9504,464.29,490.4,471.43
9654,464.61,490.72,471.75
9794,464.91,491.01,472.06
9944,465.24,491.33,472.38
10084,465.54,491.62,472.69
10224,465.85,491.91,472.99
10374,466.17,492.22,473.31
10514,466.48,492.5,473.61
10664,466.8,492.81,473.93
10804,467.11,493.1,474.23
10944,467.41,493.37,474.53
11094,467.73,493.67,474.85
11234,468.04,493.94,475.15
11384,468.36,494.24,475.47
11524,468.67,494.52,475.76
11664,468.97,494.79,476.06
11814,469.29,495.07,476.38
11954,469.6,495.34,476.67
12104,469.92,495.63,476.99
12244,470.22,495.9,477.28
12384,470.52,496.16,477.57
12534,470.85,496.43,477.88
12674,471.15,496.69,478.18
12824,471.47,496.97,478.49
12964,471.77,497.23,478.78
13104,472.07,497.48,479.06
13254,472.39,497.75,479.37
13394,472.69,498.01,479.66
13544,473.01,498.28,479.97
13684,473.31,498.53,480.25
13824,473.61,498.78,480.54
13974,473.93,499.04,480.84
14114,474.22,499.29,481.13
14264,474.54,499.56,481.43
14400,474.83,499.8,481.71
