Time (s),T_outer (C),T_inner (C),T_ave (C)
153.9,200,202.74,200.25
293.9,200,205.29,200.61
433.9,200,207.85,201.06
583.9,200,210.6,201.62
723.9,200.02,213.16,202.2
873.9,200.05,215.91,202.87
1013.9,200.09,218.48,203.54
1153.9,200.16,221.04,204.25
1303.9,200.27,223.8,205.05
1443.9,200.4,226.37,205.84
1593.9,200.58,229.12,206.72
1733.9,200.77,231.69,207.57
1873.9,201.01,234.26,208.46
2023.9,201.3,237.02,209.44
2163.9,201.61,239.59,210.38
2313.9,201.98,242.35,211.43
2453.9,202.36,244.93,212.43
2593.9,202.77,247.5,213.42
2743.9,203.25,250.26,214.53
2883.9,203.74,252.83,215.59
3033.9,204.29,255.59,216.75
3173.9,204.84,258.17,217.87
3313.9,205.43,260.74,219.01
3463.9,206.09,263.5,220.26
3603.9,206.73,266.08,221.45
3753.9,207.46,268.84,222.75
3893.9,208.17,271.41,223.99
4033.9,208.91,273.99,225.25
4183.9,209.73,276.75,226.62
4323.9,210.54,279.33,227.92
4473.9,211.43,282.09,229.34
4613.9,212.29,284.67,230.69
4753.9,213.17,287.25,232.06
4903.9,214.15,290.03,233.54
5043.9,215.08,292.61,234.9
5193.9,216.11,295.37,236.38
5333.9,217.09,297.95,237.79
5473.9,218.09,300.52,239.22
5623.9,219.19,303.29,240.77
5763.9,220.24,305.87,242.24
5913.9,221.38,308.63,243.84
6053.9,222.48,311.21,245.34
6193.9,223.6,313.79,246.87
6343.9,224.82,316.55,248.52
6483.9,225.98,319.13,250.08
6633.9,227.25,321.9,251.77
6773.9,228.46,324.48,253.37
6913.9,229.69,327.06,254.98
7063.9,231.04,329.83,256.72
7203.9,232.31,332.41,258.36
7353.9,233.7,335.2,260.13
7493.9,234.98,337.78,261.74
7633.9,236.28,340.36,263.36
7783.9,237.69,343.13,265.13
7923.9,239.03,345.71,266.79
8073.9,240.48,348.48,268.6
8213.9,241.85,351.06,270.29
8353.9,243.24,353.64,272.01
8503.9,244.74,356.41,273.86
8643.9,246.16,358.99,275.6
8793.9,247.7,361.76,277.48
8933.9,249.16,364.34,279.25
9073.9,250.63,366.92,281.03
9223.9,252.23,369.69,282.95
9363.9,253.73,372.28,284.76
9513.9,255.36,375.04,286.71
9653.9,256.9,377.63,288.54
9793.9,258.46,380.21,290.38
9943.9,260.09,383.01,292.28
10084,261.63,385.59,294.08
10234,263.29,388.36,296.02
10374,264.85,390.95,297.84
10514,266.43,393.53,299.68
10664,268.13,396.3,301.67
10804,269.73,398.82,303.53
10954,271.46,398.91,305.31
11094,273.08,398.94,306.86
11234,274.72,398.96,308.34
11384,276.49,398.99,309.87
11524,278.15,399.01,311.25
11674,279.93,399.03,312.7
11814,281.59,399.04,314.01
11954,283.25,399.06,315.3
12104,285.02,399.07,316.65
12244,286.65,399.09,317.88
12394,288.39,399.1,319.18
12534,289.99,399.12,320.37
12674,291.57,399.13,321.55
12824,293.25,399.15,322.78
12964,294.8,399.16,323.91
13114,296.43,399.17,325.11
13254,297.94,399.18,326.2
13394,299.42,399.2,327.28
13544,300.99,399.21,328.42
13684,302.43,399.22,329.47
13834,303.94,399.25,330.57
13974,305.27,399.26,331.55
14114,306.57,399.27,332.52
14264,307.95,399.28,333.53
14400,309.19,399.29,334.44
